Week,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders,Additional Notes
Atlanta Falcons,3-12 (20.0%),5-9-1  (35.7%),0-1 (0.0%),0-1-0  (0.0%),2-6 (25.0%),3-5-0 (37.5%),0-0,0-0-0,4-7-1 (36.4%)
New England Patriots,8-7 (53.3%),6-9  (40.0%),5-5 (50.0%),3-7-0  (30.0%),5-3 (62.5%),3-5-0 (37.5%),5-3 (62.5%),3-5-0 (37.5%),7-5-0 (58.3%)
New Orleans Saints,12-3 (80.0%),11-4  (73.3%),9-1 (90.0%),7-3-0  (70.0%),6-1 (85.7%),5-2-0 (71.4%),5-0 (100.%),3-2-0 (60.0%),8-4-0 (66.7%)
New York Giants,6-9 (40.0%),5-10  (33.3%),6-4 (60.0%),5-5-0  (50.0%),5-3 (62.5%),4-4-0 (50.0%),5-1 (83.3%),4-2-0 (66.7%),5-7-0 (41.7%)
New York Jets,6-9 (40.0%),8-7  (53.3%),2-3 (40.0%),2-3-0  (40.0%),4-4 (50.0%),4-4-0 (50.0%),1-3 (25.0%),1-3-0 (25.0%),6-6-0 (50.0%)
Philadelphia Eagles,7-8 (46.7%),10-4-1  (71.4%),2-2 (50.0%),2-2-0  (50.0%),4-4 (50.0%),4-4-0 (50.0%),2-2 (50.0%),2-2-0 (50.0%),9-3-0 (75.0%)
Pittsburgh Steelers,8-7 (53.3%),8-7  (53.3%),3-2 (60.0%),3-2-0  (60.0%),4-3 (57.1%),4-3-0 (57.1%),2-1 (66.7%),2-1-0 (66.7%),4-8-0 (33.3%)
San Diego Chargers,8-7 (53.3%),6-9  (40.0%),4-3 (57.1%),2-5-0  (28.6%),4-3 (57.1%),2-5-0 (28.6%),4-2 (66.7%),2-4-0 (33.3%),5-7-0 (41.7%)
San Francisco 49ers,13-2 (86.7%),9-6  (60.0%),12-2 (85.7%),8-6-0  (57.1%),6-1 (85.7%),4-3-0 (57.1%),6-1 (85.7%),4-3-0 (57.1%),7-4-1 (63.6%)
Seattle Seahawks,9-6 (60.0%),8-7  (53.3%),6-5 (54.5%),5-6-0  (45.5%),6-2 (75.0%),5-3-0 (62.5%),5-2 (71.4%),4-3-0 (57.1%),7-5-0 (58.3%)
St Louis Cardinals,7-8 (46.7%),9-6  (60.0%),4-4 (50.0%),4-4-0  (50.0%),4-3 (57.1%),4-3-0 (57.1%),2-2 (50.0%),2-2-0 (50.0%),8-3-1 (72.7%)
Tampa Bay Buccaneers,4-11 (26.7%),7-8  (46.7%),2-2 (50.0%),2-2-0  (50.0%),2-5 (28.6%),3-4-0 (42.9%),1-2 (33.3%),1-2-0 (33.3%),4-7-1 (36.4%)
Washington Redskins,11-4 (73.3%),8-6-1  (57.1%),8-3 (72.7%),4-6-1  (40.0%),6-1 (85.7%),2-4-1 (33.3%),5-1 (83.3%),1-4-1 (20.0%),7-5-0 (58.3%)
