Team,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
San Diego Chargers,416-427-11 (49.4%),418-411-19 (50.4%),263-145-0 (64.5%),192-215-8 (47.2%),237-185-0 (56.2%),210-206-7 (50.5%),182-85-0 (68.2%),136-130-5 (51.1%),308-281-9 (52.3%)
Kansas City Chiefs,507-422-12 (54.5%),472-441-22 (51.7%),348-155-0 (69.2%),246-255-8 (49.1%),288-176-0 (62.1%),230-224-10 (50.6%),225-103-0 (68.6%),153-173-6 (47.0%),326-375-12 (46.6%)
New York Jets,409-524-8 (43.9%),432-483-23 (47.3%),226-149-0 (60.3%),160-209-10 (43.5%),228-237-0 (49.0%),215-247-8 (46.6%),148-99-0 (59.9%),99-146-5 (40.6%),339-353-20 (49.0%)
Atlanta Falcons,390-503-6 (43.7%),428-451-20 (48.7%),231-146-0 (61.3%),163-207-8 (44.2%),227-219-0 (50.9%),208-233-7 (47.2%),164-100-0 (62.1%),112-148-4 (43.2%),337-359-17 (48.5%)
Miami Dolphins,496-399-4 (55.4%),447-431-21 (50.9%),336-146-0 (69.7%),229-245-11 (48.4%),286-157-0 (64.6%),225-210-11 (51.7%),229-84-0 (73.2%),154-154-7 (50.0%),328-376-11 (46.6%)
New Orleans Saints,412-468-5 (46.8%),435-432-18 (50.2%),258-137-0 (65.3%),192-196-7 (49.5%),219-219-0 (50.0%),197-234-8 (45.8%),158-102-0 (60.8%),112-143-5 (44.0%),356-344-12 (50.8%)
Cincinnati Bengals,394-471-5 (45.6%),428-411-31 (51.0%),239-135-0 (63.9%),185-178-13 (50.9%),239-193-0 (55.3%),225-192-17 (53.8%),162-82-0 (66.4%),127-109-9 (53.7%),355-345-14 (50.7%)
New England Patriots,476-353-0 (57.4%),421-389-19 (51.9%),354-142-0 (71.4%),243-240-13 (50.3%),268-146-0 (64.7%),212-189-13 (52.8%),222-83-0 (72.8%),150-146-9 (50.7%),348-355-11 (49.5%)
Seattle Seahawks,392-366-1 (51.7%),374-362-23 (50.8%),247-118-0 (67.7%),171-184-10 (48.2%),230-150-0 (60.5%),195-176-9 (52.5%),174-77-0 (69.3%),119-125-7 (48.8%),343-352-17 (49.4%)
Tampa Bay Buccaneers,308-450-1 (40.6%),359-382-18 (48.5%),180-115-0 (61.0%),131-157-8 (45.6%),179-195-0 (47.9%),174-188-13 (48.1%),127-82-0 (60.8%),95-107-8 (47.1%),323-381-8 (45.9%)
Los Angeles Raiders,118-82-0 (59.0%),98-96-6 (50.5%),86-43-0 (66.7%),60-66-3 (47.7%),64-36-0 (64.0%),45-54-1 (45.5%),56-30-0 (65.1%),37-48-1 (43.6%),92-100-5 (48.0%)
Indianapolis Colts,334-307-1 (52.1%),313-314-15 (49.9%),227-86-0 (72.5%),156-150-8 (51.0%),185-137-0 (57.5%),149-168-5 (47.0%),144-58-0 (71.3%),89-109-4 (45.0%),315-313-11 (50.2%)
Phoenix Cardinals,32-64-0 (33.3%),46-49-1 (48.4%),15-9-0 (62.5%),13-11-0 (54.2%),18-30-0 (37.5%),21-26-1 (44.8%),12-9-0 (57.1%),10-11-0 (47.6%),44-49-3 (47.4%)
Arizona Cardinals,202-279-2 (42.0%),229-243-11 (48.6%),101-61-0 (62.3%),70-89-4 (44.2%),119-118-0 (50.2%),114-121-4 (48.5%),70-43-0 (61.9%),47-65-2 (42.1%),242-235-6 (50.7%)
Carolina Panthers,214-252-1 (45.9%),232-221-14 (51.2%),122-80-0 (60.4%),92-104-6 (47.0%),119-114-0 (51.1%),111-115-7 (49.1%),85-53-0 (61.6%),64-71-3 (47.5%),218-243-6 (47.3%)
Jacksonville Jaguars,198-269-0 (42.4%),217-238-12 (47.8%),115-69-0 (62.5%),85-94-5 (47.6%),115-111-0 (50.9%),103-117-6 (46.9%),76-42-0 (64.4%),55-60-3 (47.9%),227-236-4 (49.0%)
St Louis Rams,142-193-1 (42.4%),148-181-7 (45.1%),90-53-0 (62.9%),67-73-3 (47.9%),83-84-0 (49.7%),78-86-3 (47.6%),58-33-0 (63.7%),42-47-2 (47.3%),163-168-5 (49.3%)
Baltimore Ravens,256-194-1 (56.9%),225-209-17 (51.8%),195-75-0 (72.2%),133-130-8 (50.6%),154-71-0 (68.4%),114-103-9 (52.4%),135-40-0 (77.1%),90-81-5 (52.6%),204-233-14 (46.8%)
Tennessee Oilers,16-16-0 (50.0%),18-14-0 (56.2%),6-5-0 (54.5%),5-6-0 (45.5%),9-7-0 (56.2%),8-8-0 (50.0%),6-4-0 (60.0%),5-5-0 (50.0%),16-16-0 (50.0%)
Tennessee Titans,209-194-0 (51.9%),188-202-13 (48.3%),130-65-0 (66.7%),86-102-7 (45.9%),115-86-0 (57.2%),96-97-8 (49.8%),85-41-0 (67.5%),57-65-4 (46.8%),210-185-8 (53.1%)
Houston Texans,152-202-1 (43.0%),165-180-10 (47.9%),88-46-0 (65.7%),59-69-6 (46.3%),87-90-0 (49.2%),82-90-6 (47.8%),63-33-0 (65.6%),43-50-3 (46.4%),167-183-5 (47.7%)
Las Vegas Raiders,32-35-0 (47.8%),35-31-1 (53.0%),16-13-0 (55.2%),13-16-0 (44.8%),17-17-0 (50.0%),19-14-1 (57.4%),12-6-0 (66.7%),11-7-0 (61.1%),35-31-1 (53.0%)
Washington Football Team,14-19-0 (42.4%),16-17-0 (48.5%),5-2-0 (71.4%),3-4-0 (42.9%),6-10-0 (37.5%),8-8-0 (50.0%),2-2-0 (50.0%),1-3-0 (25.0%),12-21-0 (36.4%)
Washington Commanders,12-21-1 (36.8%),14-19-1 (42.6%),5-5-0 (50.0%),4-7-0 (36.4%),5-12-0 (29.4%),4-12-1 (26.5%),3-4-0 (42.9%),2-5-0 (28.6%),15-19-0 (44.1%)
