Team,Favorites_StraightUp,Favorites_vs_Spread,Home_Records,Home_vs_Spread,Home_Favorites,Home_Favorites_vs_Spread,Home_Underdogs,Home_Underdogs_vs_Spread,Over/Unders
Miami Dolphins,44-39-0 (53.0%),48-34-1 (58.4%),27-8-0 (77.1%),22-13-0 (62.9%),27-15-0 (64.3%),27-14-1 (65.5%),18-3-0 (85.7%),15-6-0 (71.4%),40-43-0 (48.2%)
Minnesota Vikings,45-38-0 (54.2%),38-41-4 (48.2%),35-14-0 (71.4%),22-25-2 (46.9%),24-17-0 (58.5%),17-24-0 (41.5%),20-10-0 (66.7%),11-19-0 (36.7%),48-35-0 (57.8%)
New England Patriots,41-42-0 (49.4%),38-43-2 (47.0%),32-17-0 (65.3%),25-23-1 (52.0%),20-21-0 (48.8%),17-22-2 (43.9%),17-11-0 (60.7%),13-14-1 (48.2%),35-48-0 (42.2%)
New Orleans Saints,50-33-0 (60.2%),43-39-1 (52.4%),37-16-0 (69.8%),26-26-1 (50.0%),23-16-0 (59.0%),16-23-0 (41.0%),20-8-0 (71.4%),13-15-0 (46.4%),37-45-1 (45.2%)
New York Giants,29-53-1 (35.5%),44-39-0 (53.0%),10-5-0 (66.7%),7-8-0 (46.7%),17-23-0 (42.5%),20-21-0 (48.8%),7-4-0 (63.6%),6-5-0 (54.5%),31-51-1 (38.0%)
New York Jets,27-56-0 (32.5%),33-50-0 (39.8%),7-8-0 (46.7%),4-11-0 (26.7%),16-26-0 (38.1%),19-23-0 (45.2%),4-4-0 (50.0%),2-6-0 (25.0%),36-47-0 (43.4%)
Oakland Raiders,7-9-0 (43.8%),8-8-0 (50.0%),3-2-0 (60.0%),1-4-0 (20.0%),4-3-0 (57.1%),3-4-0 (42.9%),2-1-0 (66.7%),1-2-0 (33.3%),7-9-0 (43.8%)
Philadelphia Eagles,47-35-1 (57.2%),38-44-1 (46.4%),38-14-0 (73.1%),25-27-1 (48.1%),24-16-0 (60.0%),21-19-1 (52.4%),22-5-0 (81.5%),15-12-1 (55.4%),43-40-0 (51.8%)
Pittsburgh Steelers,48-34-1 (58.4%),47-36-0 (56.6%),24-13-0 (64.9%),18-20-0 (47.4%),27-14-0 (65.9%),23-19-0 (54.8%),17-9-0 (65.4%),12-15-0 (44.4%),29-50-4 (37.3%)
San Francisco 49ers,54-29-0 (65.1%),45-37-1 (54.8%),43-22-0 (66.2%),32-32-1 (50.0%),24-17-0 (58.5%),19-21-1 (47.6%),22-14-0 (61.1%),16-19-1 (45.8%),43-38-2 (53.0%)
Seattle Seahawks,48-35-0 (57.8%),39-42-2 (48.2%),33-15-0 (68.8%),19-27-2 (41.7%),24-17-0 (58.5%),19-22-0 (46.3%),19-12-0 (61.3%),13-18-0 (41.9%),36-45-2 (44.6%)
Tampa Bay Buccaneers,48-35-0 (57.8%),38-42-3 (47.6%),39-18-0 (68.4%),25-30-2 (45.6%),22-17-0 (56.4%),15-21-3 (42.3%),20-11-0 (64.5%),12-17-2 (41.9%),42-40-1 (51.2%)
Tennessee Titans,45-38-0 (54.2%),41-39-3 (51.2%),25-15-0 (62.5%),18-21-1 (46.2%),24-17-0 (58.5%),21-18-2 (53.7%),14-11-0 (56.0%),11-13-1 (46.0%),41-40-2 (50.6%)
Washington Redskins,3-13-0 (18.8%),6-10-0 (37.5%),1-1-0 (50.0%),0-2-0 (0.0%),1-7-0 (12.5%),2-6-0 (25.0%),0-1-0 (0.0%),0-1-0 (0.0%),8-8-0 (50.0%)
Las Vegas Raiders,32-35-0 (47.8%),35-31-1 (53.0%),16-13-0 (55.2%),13-16-0 (44.8%),17-17-0 (50.0%),19-14-1 (57.4%),12-6-0 (66.7%),11-7-0 (61.1%),35-31-1 (53.0%)
Washington Football Team,14-19-0 (42.4%),16-17-0 (48.5%),5-2-0 (71.4%),3-4-0 (42.9%),6-10-0 (37.5%),8-8-0 (50.0%),2-2-0 (50.0%),1-3-0 (25.0%),12-21-0 (36.4%)
Washington Commanders,12-21-1 (36.8%),14-19-1 (42.6%),5-5-0 (50.0%),4-7-0 (36.4%),5-12-0 (29.4%),4-12-1 (26.5%),3-4-0 (42.9%),2-5-0 (28.6%),15-19-0 (44.1%)
